jobtitle,company,jobindustry,salary,link,scraping_date,searchkeyword,responsibilities,requirements,skills_needed,job_id,employment,seniority,min_salary,max_salary,salarytype
Human Resource Executive,THE ODD FELLOWS PTE. LTD.,F&B ...,Salary undisclosed,https://www.mycareersfuture.sg/job/human-resource-executive-odd-fellows-5e925ce2143ceab688018235770304c2,25/4/19,data analytics,"The Human Resource Executive (Performance and Rewards) supports execution of performance management programmes, and compensation and benefits plans. He/She compares the organisation's compensation and benefits programmes with other organisations. He/She oversees the preparation of the payroll reports and works with benefits partners for claim disbursements.  He/She ensures the accuracy of performance and compensation records in the systems, as well as ensuring regulations are followed. He/She performs data analytics and shares insights reports with senior members of the team.  He/She works well in a team environment, and is able to communicate well with various stakeholders. He/She possesses an analytical mind and displays keen insight into data, using them to address issues and find solutions to work challenges.","~ Analyse employee demographics and associated risk exposure ~ Analyse employee feedback on benefits schemes ~ Analyse historical and current HR data to recognise trends and patterns in performance and rewards ~ Analyse utilisation rate of employee benefits and programmes ~ Benchmark organisation's compensation and benefits programmes against industry practices in relation to sector wage information of the Skills Framework ~ Check that regulatory and ethical guidelines are followed when handling employee data ~ Conduct diagnostic analytics on HR data to identify causes of behaviours and performance ~ Conduct job analysis and evaluations to propose employees' job size ~ Develop employee communications to inform employees about performance reviews and timelines ~ Develop frequently asked questions and responses on benefits ~ Develop frequently asked questions and responses on compensation matters ~ Develop standard reporting templates for performance and rewards management ~ Document action plans and assessment results for poor performers ~ Formulate communications to share organisation's compensation and benefits policies with employees ~ Gather feedback from employees to evaluate effectiveness of performance management programmes ~ Identify data required for analysis of business and/or human resource issues ~ Implement data checks and cleansing techniques to address data availability and quality challenges ~ Implement employee compensation reimbursement plans ~ Liaise with organisation's vendors and partners on benefits and claims processing ~ Organise performance, rewards and other employee data in HR system ~ Prepare contract terms with external vendors for benefits offered ~ Prepare technical and business reports with the analytical findings ~ Review annual salaries report and income tax declaration forms ~ Review benefits claims against entitlements to ensure accurate disbursements ~ Review employer contributions reports ~ Review generated payroll reports ~ Suggest peer companies and competitors of the organization ~ Verify that submitted claims are covered under organisation's benefit schemes","['Human Resources', 'Recruiting', 'Employee Engagement', 'Employee Relations', 'Talent Acquisition', 'Talent Management', 'Performance Management', 'HR Policies', 'Screening', 'Performance Appraisal', 'Sourcing', 'HRIS', 'Recruitments', 'Personnel Management', 'Technical Recruiting', 'Management', 'Benefits Negotiation', 'Interviews', 'Training', 'HR Consulting']", JOB-2019-0075766 ,"Permanent, Full Time","Fresh/entry level, Junior Executive",,,
Senior Internal Auditor (Information Technology),VENTURE CORPORATION LIMITED,Accounting / Auditing / Taxation,"$5,000to$7,000",https://www.mycareersfuture.sg/job/senior-internal-auditor-venture-corporation-0c4079cc04ff891b5d3d48f2cb7704e1,25/4/19,data analytics," Assist Internal Audit Head to define IT audit universe and draft annual IT risk-based audit plan. Lead IT audit planning and development of audit programs. Evaluate adequacy and effectiveness of IT controls (general and application controls). Determine compliance with Company IT policies, best practices, standards and government regulations. Draft concise audit reports in English for all levels of key stakeholders including senior management. Draft audit work papers to support audit test work and conclusions. Review audit team’s documentation to ensure quality. Enhance IT control processes by identifying improvement opportunities and work together with IT stakeholders to develop appropriate remediation plans. Establish strong working relationships with key stakeholders and business internal auditors. Participate in IT related projects including process automation, data analytics and ad hoc investigations.   "," Degree holder in Information Technology/Computer Engineering from a recognized institution. 4 - 8 years of experience in IT auditing with public accounting firm, preferably with prior audit exposure in electronics manufacturing services domain. Experience in performing audits for compliance with COBIT framework and ITIL practices. Subject matter expertise in one or more following is desirable: information security, data privacy, software development, operating system and SAP audits. Data analytics experience is a significant advantage. Experience in data analytics software including Audit Command Language (ACL) and Tableau are desired. Excellent command of written and verbal English communication skills for interaction with all levels of stakeholders including senior management. Ability to speak and read Bahasa Malay or Mandarin is desirable as the incumbent will be involved in audits of subsidiaries in Malaysia and China. Willing to travel internationally to factories and offices in Malaysia, China, United States and Spain. Traveling is equivalent and/or less than 50%. Professional certification in CISM, CISA, CISSP, CIA or CFE is preferred ","['IT Audit', 'Information Security', 'Information Security Management', 'Internal Audit', 'CISA', 'Auditing', 'Sarbanes-Oxley Act', 'COBIT', 'Risk Management', 'Enterprise Risk Management', 'Governance', 'Internal Controls', 'Risk Assessment', 'Disaster Recovery', 'Information Technology', 'IT Management', 'Security', 'IT Strategy', 'Business Continuity', 'Business Process']", JOB-2018-0193146 ,"Permanent, Full Time",Senior Executive,5000,7000,Monthly
Strategic Director,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,Advertising / Media ,"$8,000to$14,000",https://www.mycareersfuture.sg/job/strategic-director-groupm-asia-pacific-holdings-a73367b2b85d0f91d7faf178c10ff2a7,25/4/19,data analytics,"Overview of job  GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Strategy Director to join us. In this role, you will provide strategic leadership to our international clients, resulting in tangible business outcomes. We are looking for a passionate, self-motivated individual with to support large global and multi-national clients, such as Lóreal, Jetstar, Chevron, Tiffany, Chanel, Mondelez and more. This will include projects such as: creating global/regional communication frameworks for local markets to adapt, uncovering consumer insights through data, analytics and agency tools, coming up with innovative solutions and ideas, working without Wavemaker content teams, developing award-winning communication plans, forming agency perspective on changes in consumer and media behaviors.  As we continue to roll-out our new operating model (Rapid Growth Planning) for Global, Regional and key local clients it is critical that this individual champions the new model, helps to ensure the full team embraces the approach and ensures this is front and center in all the work. This will include holding training sessions for the rest of the business. Support and lead strategy for Global, Regional and key local pitches At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: This role reports to Managing Director, Global Client Solutions Singapore.  This role also has a dotted line to the Client Solutions Head of Strategy based in London.  Job Details: You will work collaboratively with our client leaders and specialists to develop seamlessly integrated outputs for our clients. More specifically, you will be responsible for:  Driving our integrated planning responses for key clients, founded in great consumer insight and delivering transformational ideas Developing effective working relationships with specialist leaders across Digital, Analytics, Content and Performance Leading the strategic response, often as a part of a multi-agency team, including working effectively with planners from other agencies & disciplines Championing Rapid Growth Planning, operating system and ensuring our Purchase Journey obsession is reflected in the work we produce Leading our strategic response for key new business pitches Coming up with innovative and creative ideas in conjunction with our Wavemaker Content team Coaching planners & account teams to deliver great integrated planning responses and innovative and creative ideas Driving digital adoption, in collaboration with the Director of Digital & Platforms, such that we recommend the right digital acceleration strategies to our clients Liaising with the global Client Solutions community and particularly other strategists to share best practice and cross fertilize craft skills and work With client leads, contributing to client growth plans, and as a part of the management team driving client growth Driving quality of agency output outside of day to day planning responses through award entries and client-specific thought leadership 	Overview of job  	GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Strategy Director to join us. In this role, you will provide strategic leadership to our international clients, resulting in tangible business outcomes. We are looking for a passionate, self-motivated individual with to support large global and multi-national clients, such as Lóreal, Jetstar, Chevron, Tiffany, Chanel, Mondelez and more. This will include projects such as: creating global/regional communication frameworks for local markets to adapt, uncovering consumer insights through data, analytics and agency tools, coming up with innovative solutions and ideas, working without Wavemaker content teams, developing award-winning communication plans, forming agency perspective on changes in consumer and media behaviors.  As we continue to roll-out our new operating model (Rapid Growth Planning) for Global, Regional and key local clients it is critical that this individual champions the new model, helps to ensure the full team embraces the approach and ensures this is front and center in all the work. This will include holding training sessions for the rest of the business. Support and lead strategy for Global, Regional and key local pitches At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: This role reports to Managing Director, Global Client Solutions Singapore.  This role also has a dotted line to the Client Solutions Head of Strategy based in London.  Job Details: You will work collaboratively with our client leaders and specialists to develop seamlessly integrated outputs for our clients. More specifically, you will be responsible for:  Driving our integrated planning responses for key clients, founded in great consumer insight and delivering transformational ideas Developing effective working relationships with specialist leaders across Digital, Analytics, Content and Performance Leading the strategic response, often as a part of a multi-agency team, including working effectively with planners from other agencies & disciplines Championing Rapid Growth Planning, operating system and ensuring our Purchase Journey obsession is reflected in the work we produce Leading our strategic response for key new business pitches Coming up with innovative and creative ideas in conjunction with our Wavemaker Content team Coaching planners & account teams to deliver great integrated planning responses and innovative and creative ideas Driving digital adoption, in collaboration with the Director of Digital & Platforms, such that we recommend the right digital acceleration strategies to our clients Liaising with the global Client Solutions community and particularly other strategists to share best practice and cross fertilize craft skills and work With client leads, contributing to client growth plans, and as a part of the management team driving client growth Driving quality of agency output outside of day to day planning responses through award entries and client-specific thought leadership "," Must have strong Media Agency experience Excellent understanding of integrated communications processes Strong digital knowledge or digital background Demonstrate exceptional strategic & critical thinking and effective problem-solving skills Consistently exhibit natural curiosity and dynamism Innate ability to respectfully challenge the status quo Proven record of building client relationships Sound financial acumen including budget control and account profitability Possess and utilize advanced level presentation, verbal and written skills Display strong communication, coaching and people skills Actively and openly participate in team, agency, and industry initiatives ","['Strategic Planning', 'Strategy', 'Leadership', 'Business Strategy', 'Business Development', 'Marketing Strategy', 'Management', 'Marketing', 'Integrated Marketing', 'Cross-functional Team Leadership', 'Strategic Partnerships', 'Advertising', 'Digital Strategy', 'Social Media Marketing', 'Start-ups', 'Digital Marketing', 'Marketing Communications', 'Entrepreneurship', 'New Business Development', 'Project Management']", JOB-2019-0074964 ,Permanent,"Senior Management, Middle Management",8000,14000,Monthly
Senior Strategy Director,GROUPM ASIA PACIFIC HOLDINGS PTE. LTD.,Advertising / Media ,"$11,000to$15,000",https://www.mycareersfuture.sg/job/senior-strategy-director-groupm-asia-pacific-holdings-39d6123a666d13b35c3fb61c71635192,25/4/19,data analytics,"GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Strategy Director to join us. In this role, you will provide strategic leadership to our international clients, resulting in tangible business outcomes. We are looking for a passionate, self-motivated individual with to support large global and multi-national clients, such as Lóreal, Jetstar, Chevron, Tiffany, Chanel, Mondelez and more. This will include projects such as: creating global/regional communication frameworks for local markets to adapt, uncovering consumer insights through data, analytics and agency tools, coming up with innovative solutions and ideas, working without Wavemaker content teams, developing award-winning communication plans, forming agency perspective on changes in consumer and media behaviors.  As we continue to roll-out our new operating model (Rapid Growth Planning) for Global, Regional and key local clients it is critical that this individual champions the new model, helps to ensure the full team embraces the approach and ensures this is front and center in all the work. This will include holding training sessions for the rest of the business. Support and lead strategy for Global, Regional and key local pitches At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: This role reports to Managing Director, Global Client Solutions Singapore.  This role also has a dotted line to the Client Solutions Head of Strategy based in London.  Job Details: You will work collaboratively with our client leaders and specialists to develop seamlessly integrated outputs for our clients. More specifically, you will be responsible for:  Driving our integrated planning responses for key clients, founded in great consumer insight and delivering transformational ideas Developing effective working relationships with specialist leaders across Digital, Analytics, Content and Performance Leading the strategic response, often as a part of a multi-agency team, including working effectively with planners from other agencies & disciplines Championing Rapid Growth Planning, operating system and ensuring our Purchase Journey obsession is reflected in the work we produce Leading our strategic response for key new business pitches Coming up with innovative and creative ideas in conjunction with our Wavemaker Content team Coaching planners & account teams to deliver great integrated planning responses and innovative and creative ideas Driving digital adoption, in collaboration with the Director of Digital & Platforms, such that we recommend the right digital acceleration strategies to our clients Liaising with the global Client Solutions community and particularly other strategists to share best practice and cross fertilize craft skills and work With client leads, contributing to client growth plans, and as a part of the management team driving client growth Driving quality of agency output outside of day to day planning responses through award entries and client-specific thought leadership "," Must have strong Media Agency experience Excellent understanding of integrated communications processes Strong digital knowledge or digital background Demonstrate exceptional strategic & critical thinking and effective problem-solving skills Consistently exhibit natural curiosity and dynamism Innate ability to respectfully challenge the status quo Proven record of building client relationships Sound financial acumen including budget control and account profitability Possess and utilize advanced level presentation, verbal and written skills Display strong communication, coaching and people skills Actively and openly participate in team, agency, and industry initiatives ","['Strategy', 'Business Strategy', 'Strategic Planning', 'Marketing Strategy', 'Business Development', 'Management', 'Leadership', 'Digital Marketing', 'Digital Strategy', 'Marketing', 'New Business Development', 'Start-ups', 'Management Consulting', 'Change Management', 'Strategic Partnerships', 'Advertising', 'Integrated Marketing', 'Social Media', 'Marketing Communications', 'Social Media Marketing']", JOB-2019-0074973 ,Permanent,"Senior Management, Middle Management",11000,15000,Monthly
Senior Strategy Director,GROUPM SINGAPORE PTE. LTD.,Advertising / Media ,"$11,000to$15,000",https://www.mycareersfuture.sg/job/senior-strategy-director-groupm-singapore-7ab00c1294438ad3aaf68f237f2f40b9,25/4/19,data analytics,"Overview of job  GroupM, the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Strategy Director to join us. In this role, you will provide strategic leadership to our international clients, resulting in tangible business outcomes. We are looking for a passionate, self-motivated individual with to support large global and multi-national clients, such as Lóreal, Jetstar, Chevron, Tiffany, Chanel, Mondelez and more. This will include projects such as: creating global/regional communication frameworks for local markets to adapt, uncovering consumer insights through data, analytics and agency tools, coming up with innovative solutions and ideas, working without Wavemaker content teams, developing award-winning communication plans, forming agency perspective on changes in consumer and media behaviors.  As we continue to roll-out our new operating model (Rapid Growth Planning) for Global, Regional and key local clients it is critical that this individual champions the new model, helps to ensure the full team embraces the approach and ensures this is front and center in all the work. This will include holding training sessions for the rest of the business. Support and lead strategy for Global, Regional and key local pitches At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to: This role reports to Managing Director, Global Client Solutions Singapore.  This role also has a dotted line to the Client Solutions Head of Strategy based in London.  Job Details: You will work collaboratively with our client leaders and specialists to develop seamlessly integrated outputs for our clients. More specifically, you will be responsible for:  Driving our integrated planning responses for key clients, founded in great consumer insight and delivering transformational ideas Developing effective working relationships with specialist leaders across Digital, Analytics, Content and Performance Leading the strategic response, often as a part of a multi-agency team, including working effectively with planners from other agencies & disciplines Championing Rapid Growth Planning, operating system and ensuring our Purchase Journey obsession is reflected in the work we produce Leading our strategic response for key new business pitches Coming up with innovative and creative ideas in conjunction with our Wavemaker Content team Coaching planners & account teams to deliver great integrated planning responses and innovative and creative ideas Driving digital adoption, in collaboration with the Director of Digital & Platforms, such that we recommend the right digital acceleration strategies to our clients Liaising with the global Client Solutions community and particularly other strategists to share best practice and cross fertilize craft skills and work With client leads, contributing to client growth plans, and as a part of the management team driving client growth Driving quality of agency output outside of day to day planning responses through award entries and client-specific thought leadership "," Must have strong Media Agency experience Excellent understanding of integrated communications processes Strong digital knowledge or digital background Demonstrate exceptional strategic & critical thinking and effective problem-solving skills Consistently exhibit natural curiosity and dynamism Innate ability to respectfully challenge the status quo Proven record of building client relationships Sound financial acumen including budget control and account profitability Possess and utilize advanced level presentation, verbal and written skills Display strong communication, coaching and people skills Actively and openly participate in team, agency, and industry initiatives ","['Strategy', 'Business Strategy', 'Strategic Planning', 'Marketing Strategy', 'Business Development', 'Management', 'Leadership', 'Digital Marketing', 'Digital Strategy', 'Marketing', 'New Business Development', 'Start-ups', 'Management Consulting', 'Change Management', 'Strategic Partnerships', 'Advertising', 'Integrated Marketing', 'Social Media', 'Marketing Communications', 'Social Media Marketing']", JOB-2019-0074659 ,Permanent,"Senior Management, Middle Management",11000,15000,Monthly
Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,Sciences / Laboratory / R&D,"$4,500to$6,500",https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-d6749e3d6e1d5f180731237e37d646d8,25/4/19,data analytics,"We are looking for highly motivated Research Fellow with strong research interests at the junction of mobility, urban sensing, transportations, and big data analytics. We have been depending our understanding of mobility from the urban data and are making use of such understanding to develop intelligent methods and systems to improve state-of-the-art practices of urban systems and applications.","Applicant should have a PhD’s degree in relevant areas. He or she is expected to have strong experimental background in systems and data analytics. We have been working with distributed data processing frameworks like Spark as well as advanced graph processing engines in order to process the huge volume of data that we are studying. Candidate should have strong track record of publishing in top venues on mobility, systems, and data. We have been regularly publishing or targeting our research papers to conferences like MobiCom, MobiSys, SenSys, IPSN, and the like. We regret that only shortlisted candidates will be notified.","['Research', 'Science', 'Matlab', 'LaTeX', 'Algorithms', 'Statistics', 'Machine Learning', 'Teaching', 'Data Analysis', 'Molecular Biology', 'Computer Science', 'Mathematical Modeling', 'Simulations', 'Qualitative Research', 'Biochemistry', 'C++', 'Data Mining', 'Programming', 'Artificial Intelligence', 'Lifesciences']", JOB-2019-0074500 ,"Contract, Full Time",Professional,4500,6500,Monthly
Recruitment Consultant - Technology ( Cyber Security),NEXTWAVE PARTNERS PTE. LTD.,Consulting  ...,"$3,500to$4,500",https://www.mycareersfuture.sg/job/recruitment-consultant-technology-nextwave-partners-df22fd42fabf4022137655acc4c0d3d0,25/4/19,data analytics,"NextWave Partners is a Technology & Energy Recruitment Company. Founded in early 2016 we have quickly established NextWave as a strong brand within the Thermal Power and Renewable Energy sectors. As of Q3 2017 NextWave set up a Technology Recruitment division to focus on AI, Big Data & Analytics and Cyber Security. Given the success of this division so far and the growth of the technology sector in Asia we are looking to hire a Recruitment Consultant with a focus on Cyber Security.   NextWave Partners has already grown to 18 people over the last 3 years but has a clear strategic plan to build the Technology team to the same size. Our short-term aim is to grow the Company to 25+ people in our Singapore office over the coming 12 months; after which point, we would like to replicate the business model to cover the Middle East & Americas by setting up various international offices. We will do this though developing and empowering the very best recruiters in the industry to become market leaders in their specialist areas. The Recruitment Consultant will work closely with the Business Directors to grow the Cyber Security sector within Asia, and Hong Kong in particular. We are looking for someone who has the desire to see how far they can push themselves outside of the traditional recruitment career path with a development plan to a Senior Management position in future. For NextWave’s high achievers there are opportunities to build recruitment teams and align with Senior Recruitment Consultant through equity and profit share in the business.","The Recruitment Consultant's Role:  Grow the NextWave Company Brand and establish your own personal brand as a market leading consultant in the Technology (Cyber Security) Sector Network with and headhunting of the world’s top Technology professionals Develop and nurture a wide client base of Technology Companies across multiple disciplines Through working with Senior Management, you will formulate and execute a structured business development strategy International travel with face-to-face client meetings to develop deeper relationships with clients and candidates Prioritising your tasks whilst working autonomously with confidence  Your Profile:  Educated to degree level in any field Minimum 1 year recruitment experience in Cyber Security Ability to converse in Mandarin and Cantonese at a business proficient level to cover the Hong Kong Technology Market (There will be interaction with individuals from Hong Kong hence the ability to speak and write Mandarin and Cantonese is necessary) Entrepreneurially minded and keen to build a micro business Hard working and driven to make their mark on the Technology Sector Motivated to achieve above and beyond the competition in results and earnings Confident, humble, resilient and an ability to think outside the box You are nimble with an ability to spot opportunities and move quickly to capitalize on them. Background in recruitment within Technology, in particular Cyber Security, and/or experience in a customer-facing role is desired but not essential Work hard, play hard attitude  NextWave Partners offer:  Competitive Remuneration for Local or International Professionals Formal training and development program A fast-tracked career path to Senior Management if successful International travel opportunities A strategic and entrepreneurial working environment ","['Recruiting', 'Talent Acquisition', 'Executive Search', 'Human Resources', 'Technical Recruiting', 'Sourcing', 'Recruitment Advertising', 'Talent Management', 'Management', 'Interviews', 'Contract Recruitment', 'HR Consulting', 'Screening Resumes', 'Permanent Placement', 'Employee Relations', 'Performance Management', 'Business Development', 'Account Management', 'Training', 'Employer Branding']", JOB-2019-0074902 ,Full Time,Executive,3500,4500,Monthly
"Manager, Mechanical",Company Undisclosed,Engineering,"$9,000to$9,500",https://www.mycareersfuture.sg/job/manager-mechanical-cf03e6e08a717ebb40fbf8ad80fce0ce,25/4/19,data analytics,"The Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.  In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.  As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation. "," Degree in Mechanical Engineering At least 13 years of work expereince in engineering, packages constructin and commissioning of rotating equipment and management of static equipment packages for Oil & Gas (offshore), Refinery, Petrochemcial Complex. Be a excellent team player with good leadership quality. Proactive, good communicative and interpersonal skills, able to interact with people at all level. ","['Management', 'Leadership', 'Project Management', 'Strategic Planning', 'Strategy', 'Customer Service', 'Marketing', 'Sales', 'Change Management', 'Business Strategy', 'Training', 'Program Management', 'Business Development', 'Team Building', 'Process Improvement', 'Marketing Strategy', 'Operations Management', 'Microsoft Office', 'New Business Development', 'Social Media']", JOB-2019-0074545 ,Full Time,Manager,9000,9500,Monthly
Assistant Director (Data Analytics) (JD#5030),SCIENTE INTERNATIONAL PTE. LTD.,Banking and Finance ...,"$12,000to$16,000",https://www.mycareersfuture.sg/job/assistant-director-sciente-international-0a61804734a007fb8b69b1a1f72f2600,25/4/19,data analytics,Would you like to enhance your knowledge on the latest technologies like Distributed Ledger Technology (DLT)?  Our client is seeking an experienced leader with strong data analytics experience to join them to work on research and development projects to find out insights on virtual currency transactions.,"Mandatory Skill-set  Degree in Business Analytics, Computer Science, Computer Engineering or Information Technology; ​​At least 8 years of experience in managing IT projects in the areas of Business Intelligence, Big Data and Data Analytics; Strong experience in the development of data analysis solutions applying statistical analysis techniques like regression analysis, machine learning; Proficient in data analytics technologies like Python programming, Blockchain APIs; Good understanding of Distributed Ledger Technology (DLT); Knowledgeable in the remediation of risks and issues surrounding Data projects (e.g. data quality, data completeness, data visualization); Experience in managing complex IT projects using different methodologies (e.g. Waterfall, Agile, Scrum); Experience managing contract proposals, negotiations and vendors; Solid project management skills with strong organization, problem solving and multi-tasking skills; Possess leadership, relationship management, influencing and negotiation skills.  Desired Skill-set  PMP or Agile Certified; Experience with AI technologies (e.g. Machine Learning & NLP); Experience in the financial sector.  Responsibilities  Lead and drive the execution of data analytics projects related to virtual currencies, blockchain and digital tokens; Research and develop analytics solutions in line with the organizational direction and objectives; Coordinate resources/activities across organizations to facilitate execution of data analytics projects related to Distributed Ledger Technology; Assess and evaluate technical solutions based on user requirements; Ensure that all projects are on-time and within scope by tracking project and task progress; Manage changes to the project scope, project schedule and project costs using appropriate verification techniques; Responsible for contract proposals, negotiations and approval for the project; Measure project performance using appropriate tools and techniques; Manage the relationship with the team members and stakeholders; Perform risk management to minimize project risks; Create and maintain comprehensive project documentation and communication plan.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest.  Confidentiality is assured, and only shortlisted candidates will be notified.  EA License: 07C5639","['Leadership', 'Public Speaking', 'Research', 'Strategic Planning', 'Event Planning', 'Management', 'Social Media', 'Community Outreach', 'Training', 'Fundraising', 'Higher Education', 'Nonprofits', 'Program Management', 'Event Management', 'Microsoft Office', 'Marketing', 'Public Relations', 'Teaching', 'Customer Service', 'Editing']",Recruiter,"Permanent, Full Time",Senior Management,12000,16000,Monthly
"Operations, Securities Division Operations, Equities Trading Services, Analyst",GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.,Banking and Finance,"$5,000to$10,000",https://www.mycareersfuture.sg/job/operations-securities-division-operations-equities-trading-services-analyst-goldman-sachs-services-992f411b06a1037184141a8c2a7064ea,25/4/19,data analytics,"OPERATIONS Operations is a dynamic, multi-faceted division that partners with all parts of the firm to provide banking, securities, and asset management services to clients around the world. In addition, Operations provides essential risk management and controls to preserve and enhance the firm's assets and its reputation. For every new product launched and every trade executed, it is Operations that develops and manages the processes and controls that enable business flow. YOUR IMPACT  Are you looking to join a dynamic and fast paced team, applying your analytical and problem solving skills for maximum impact, whilst deepening your knowledge of Equity Derivatives? Equity Trading Services is seeking a professional who is looking to partner with our business and other internal and external stakeholders to provide market leading business enablement and risk and control services.  OUR IMPACT  Our team of critical thinkers partners with groups in all areas of the firm to perform financial analytics, reporting, data analytics and engineering. Our division also provides critical operations design and handles capital markets operations to ensure business flows smoothly across our global offices. From day one, team members play a vital role in upholding the three Operations principles of client focus, process innovation, and risk management.  Equity Trading Services provides front to back post-execution support to all equity based derivative activity in Asia. The Middle Office team has critical focus on front office day to day risk and trading surveillance, new issuances, client service, corporate actions processing and strategic firm and business infrastructure projects.   Middle Office acts as first point of contact for the various Equities Trading desks, assisting in the execution of both new client and hedging activity. Clients execute trades across a range of product wrappers e.g OTC, Securitised , Synthetic and it is Middle Office’s responsibility to ensure positions are booked and maintained correctly in our risk systems. There is a strong emphasis on knowledge and expertise which requires that all team members are fully versed in products and systems used as well as the processes and procedures that must be followed when performing day to day tasks.   HOW YOU WILL FULFILL YOUR POTENTIAL   Prepare to gain a comprehensive understanding of the operational process lifecycle by interacting with internal and external stakeholders including clients, trading desks, brokers, Sales, Structuring and other federation teams in order to work toward the shared goal of business enablement and risk mitigation  Partner with a team of product experts to review all operational aspects of the trade flow while gaining strong technical knowledge, risk control and commercial awareness  Use your inquisitive mind set to identify efficiency opportunities with respect to process flow methodology as well as enhance scalability  Leverage your quantitative skills to decompose complex regulatory and operational process requirement, and propose creative, robust solutions  Oversight & ownership of the full front to back operational flow ensuring that seamless execution of trades, new business and flow enhancements  ","SKILLS & EXPERIENCE WE’RE LOOKING FOR   Ability to demonstrate a sound of understanding of a range of Equity Derivative products as well as Cash Securities. Strong Team- working skills – for working with both internal departments and globally  Track record in the development of client relationships and key stakeholders, both internally and externally  Ability to gain a strong understanding of the business and work with Prime Brokerage, Marketing, Structuring, Trading and Sales desks  Excellent communication and interpersonal skills  Ability to thrive under pressure  Strong leadership skills essential – this role will require a self-starter who can manage competing deadlines and can prioritize appropriately  © The Goldman Sachs Group, Inc., 2019. All rights reserved, Goldman Sachs is an equal employment/affirmative action employer Female/Minority/Disability/Vet.","['Financial Modeling', 'Analysis', 'Management', 'Financial Analysis', 'Microsoft Excel', 'Project Management', 'Microsoft Office', 'Data Analysis', 'Strategy', 'Valuation', 'Leadership', 'Business Analysis', 'Business Strategy', 'Corporate Finance', 'Investment Banking', 'Strategic Planning', 'Research', 'Investments', 'Process Improvement', 'Equities']", JOB-2019-0074029 ,Full Time,Executive,5000,10000,Monthly
